name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date 
Kepler-983 b,2330,6.17 Earths,14.1125,2016
Kepler-985 b,2216,9.17 Earths,14.904,2016
Kepler-987 b,2982,10.7 Earths,15.171,2016
Kepler-989 b,1605,5.52 Earths,14.717,2016
Kepler-990 c,2617,2.96 Earths,14.716,2016
Kepler-991 b,1271,6.99 Earths,15.626,2016
Kepler-992 b,847,3.26 Earths,13.557,2016
Kepler-993 b,1058,9.11 Earths,16.608,2016
Kepler-994 b,614,3.19 Earths,15.046,2016
KMT-2016-BLG-2605L b,20945,0.771 Jupiters,,2021
KMT-2017-BLG-0165L b,14777,34 Earths,20.86,2018
KMT-2017-BLG-1146L b,21203,0.71 Jupiters,,2019
KMT-2018-BLG-1743L b,21148,0.245 Jupiters,,2021
KMT-2018-BLG-1990L b,3154,0.348 Jupiters,,2019
KMT-2019-BLG-1339L b,19963,1.25 Jupiters,,2020
KMT-2019-BLG-1715L b,12591,2.56 Jupiters,,2021
KMT-2019-BLG-1953L b,22964,0.64 Jupiters,,2020
KOI-12 b,1303,1.1 Jupiters,11.51,2015
KOI-142 b,1229,9.5 Earths,13.209,2013
KMT-2016-BLG-2605L b,20945,0.771 Jupiters,,2021
KMT-2017-BLG-0165L b,14777,34 Earths,20.86,2018
KMT-2017-BLG-1146L b,21203,0.71 Jupiters,,2019
KMT-2018-BLG-1743L b,21148,0.245 Jupiters,,2021
KMT-2018-BLG-1990L b,3154,0.348 Jupiters,,2019
KMT-2019-BLG-1339L b,19963,1.25 Jupiters,,2020
KMT-2019-BLG-1715L b,12591,2.56 Jupiters,,2021
KMT-2019-BLG-1953L b,22964,0.64 Jupiters,,2020
KOI-12 b,1303,1.1 Jupiters,11.51,2015
KOI-142 b,1229,9.5 Earths,13.209,2013
KMT-2016-BLG-2605L b,20945,0.771 Jupiters,,2021
KMT-2017-BLG-0165L b,14777,34 Earths,20.86,2018
KMT-2017-BLG-1146L b,21203,0.71 Jupiters,,2019
KMT-2018-BLG-1743L b,21148,0.245 Jupiters,,2021
KMT-2018-BLG-1990L b,3154,0.348 Jupiters,,2019
KMT-2019-BLG-1339L b,19963,1.25 Jupiters,,2020
KMT-2019-BLG-1715L b,12591,2.56 Jupiters,,2021
KMT-2019-BLG-1953L b,22964,0.64 Jupiters,,2020
KOI-12 b,1303,1.1 Jupiters,11.51,2015
KOI-142 b,1229,9.5 Earths,13.209,2013
KMT-2016-BLG-2605L b,20945,0.771 Jupiters,,2021
KMT-2017-BLG-0165L b,14777,34 Earths,20.86,2018
KMT-2017-BLG-1146L b,21203,0.71 Jupiters,,2019
KMT-2018-BLG-1743L b,21148,0.245 Jupiters,,2021
KMT-2018-BLG-1990L b,3154,0.348 Jupiters,,2019
KMT-2019-BLG-1339L b,19963,1.25 Jupiters,,2020
KMT-2019-BLG-1715L b,12591,2.56 Jupiters,,2021
KMT-2019-BLG-1953L b,22964,0.64 Jupiters,,2020
KOI-12 b,1303,1.1 Jupiters,11.51,2015
KOI-142 b,1229,9.5 Earths,13.209,2013
KMT-2016-BLG-2605L b,20945,0.771 Jupiters,,2021
KMT-2017-BLG-0165L b,14777,34 Earths,20.86,2018
KMT-2017-BLG-1146L b,21203,0.71 Jupiters,,2019
KMT-2018-BLG-1743L b,21148,0.245 Jupiters,,2021
KMT-2018-BLG-1990L b,3154,0.348 Jupiters,,2019
KMT-2019-BLG-1339L b,19963,1.25 Jupiters,,2020
KMT-2019-BLG-1715L b,12591,2.56 Jupiters,,2021
KMT-2019-BLG-1953L b,22964,0.64 Jupiters,,2020
KOI-12 b,1303,1.1 Jupiters,11.51,2015
KOI-142 b,1229,9.5 Earths,13.209,2013
KMT-2016-BLG-2605L b,20945,0.771 Jupiters,,2021
KMT-2017-BLG-0165L b,14777,34 Earths,20.86,2018
KMT-2017-BLG-1146L b,21203,0.71 Jupiters,,2019
KMT-2018-BLG-1743L b,21148,0.245 Jupiters,,2021
KMT-2018-BLG-1990L b,3154,0.348 Jupiters,,2019
KMT-2019-BLG-1339L b,19963,1.25 Jupiters,,2020
KMT-2019-BLG-1715L b,12591,2.56 Jupiters,,2021
KMT-2019-BLG-1953L b,22964,0.64 Jupiters,,2020
KOI-12 b,1303,1.1 Jupiters,11.51,2015
KOI-142 b,1229,9.5 Earths,13.209,2013
KOI-1599.01,3691,4.6 Earths,14.795,2019
KOI-1783.01,2824,0.22339 Jupiters,13.978,2020
KOI-217 b,2984,Unknown,15.257,2010
KOI-3680 b,3008,1.93 Jupiters,14.616,2018
KOI-55 c,4016,0.655 Earths,15.154,2011
KOI-94 b,1556,10.5 Earths,12.314,2013
KOI-94 e,1556,35 Earths,12.314,2013
L 168-9 b,82,4.6 Earths,11.005,2020
L 98-59 b,35,0.4 Earths,11.685,2019
LHS 3844 b,49,2.25 Earths,15.24,2019
LkCa 15 c,516,Unknown,12.025,2015
MOA-2007-BLG-400L b,18920,0.83 Jupiters,,2008
MOA-2008-BLG-310L b,25117,23.4 Earths,26.2,2009
MOA-2011-BLG-291L b,14353,18 Earths,,2018
MOA-2011-BLG-322L b,24661,11.6 Jupiters,,2013
MOA-2012-BLG-006L b,17289,8.4 Jupiters,,2017
MOA-2012-BLG-505L b,23519,6.7 Earths,,2017
MOA-2015-BLG-337L b,23160,33.7 Earths,,2018
MOA-2016-BLG-319L b,22182,0.62 Jupiters,,2018
Mu Leonis b,106,2.4 Jupiters,3.86648,2014
MXB 1658-298 b,,23.7 Jupiters,,2017
NGC 2682 Sand 364 b,2666,6.69 Jupiters,9.616,2014
NGC 2682 YBP 1194 b,2847,0.32 Jupiters,14.569,2014
NGC 2682 YBP 1514 b,2982,0.4 Jupiters,14.684,2014
NGTS-11 b,621,0.344 Jupiters,12.456,2020
NGTS-13 b,2112,4.84 Jupiters,12.744,2021
NGTS-14 A b,1051,29.24036 Earths,13.268,2021
NGTS-1 b,712,0.812 Jupiters,15.667,2017
NGTS-6 b,1006,1.339 Jupiters,14.237,2019
NSVS 14256825 b,2678,14.15 Jupiters,13.296,2019
NY Virginis b,1775,2.3 Jupiters,13.496,2011
NY Virginis c,1775,5.54 Jupiters,13.496,2019
OGLE-2005-BLG-390L b,21529,5.5 Earths,,2005
OGLE-2008-BLG-092L b,26422,0.18 Jupiters,,2014
OGLE-2011-BLG-0265L b,14288,0.88 Jupiters,,2015
OGLE-2012-BLG-0724L b,21855,0.47 Jupiters,,2016
OGLE-2013-BLG-0132L b,12722,0.29 Jupiters,,2017
OGLE-2013-BLG-0341L B b,2972,1.66 Earths,,2014
OGLE-2013-BLG-0911L b,10504,9.51 Jupiters,26.42,2019
OGLE-2014-BLG-0676L b,7242,3.09 Jupiters,,2016
OGLE-2015-BLG-0966L b,10765,21 Earths,,2016
OGLE-2016-BLG-1227L b,,0.79 Jupiters,,2020
OGLE-2017-BLG-0173L b,15348,3.269 Earths,,2018
OGLE-2017-BLG-1140L b,,1.59 Jupiters,,2018
OGLE-2017-BLG-1375L b,12820,11.28 Jupiters,,2020
OGLE-2017-BLG-1434L b,2805,4.43 Earths,,2018
OGLE-2018-BLG-0962L b,21203,1.34 Jupiters,,2021
OGLE-2019-BLG-0304L b,22769,0.51 Jupiters,,2021
OGLE2-TR-L9 b,5309,4.5 Jupiters,14.718,2008
OGLE-TR-113 b,1848,1.26 Jupiters,15.8485,2004
OGLE-2015-BLG-0966L b,10765,21 Earths,,2016
OGLE-2016-BLG-1227L b,,0.79 Jupiters,,2020
OGLE-2017-BLG-0173L b,15348,3.269 Earths,,2018
OGLE-2017-BLG-1140L b,,1.59 Jupiters,,2018
OGLE-2017-BLG-1375L b,12820,11.28 Jupiters,,2020
OGLE-2017-BLG-1434L b,2805,4.43 Earths,,2018
OGLE-2018-BLG-0962L b,21203,1.34 Jupiters,,2021
OGLE-2019-BLG-0304L b,22769,0.51 Jupiters,,2021
OGLE2-TR-L9 b,5309,4.5 Jupiters,14.718,2008
OGLE-TR-113 b,1848,1.26 Jupiters,15.8485,2004
OGLE-2015-BLG-0966L b,10765,21 Earths,,2016
OGLE-2016-BLG-1227L b,,0.79 Jupiters,,2020
OGLE-2017-BLG-0173L b,15348,3.269 Earths,,2018
OGLE-2017-BLG-1140L b,,1.59 Jupiters,,2018
OGLE-2017-BLG-1375L b,12820,11.28 Jupiters,,2020
OGLE-2017-BLG-1434L b,2805,4.43 Earths,,2018
OGLE-2018-BLG-0962L b,21203,1.34 Jupiters,,2021
OGLE-2019-BLG-0304L b,22769,0.51 Jupiters,,2021
OGLE2-TR-L9 b,5309,4.5 Jupiters,14.718,2008
OGLE-TR-113 b,1848,1.26 Jupiters,15.8485,2004
OGLE-2015-BLG-0966L b,10765,21 Earths,,2016
OGLE-2016-BLG-1227L b,,0.79 Jupiters,,2020
OGLE-2017-BLG-0173L b,15348,3.269 Earths,,2018
OGLE-2017-BLG-1140L b,,1.59 Jupiters,,2018
OGLE-2017-BLG-1375L b,12820,11.28 Jupiters,,2020
OGLE-2017-BLG-1434L b,2805,4.43 Earths,,2018
OGLE-2018-BLG-0962L b,21203,1.34 Jupiters,,2021
OGLE-2019-BLG-0304L b,22769,0.51 Jupiters,,2021
OGLE2-TR-L9 b,5309,4.5 Jupiters,14.718,2008
OGLE-TR-113 b,1848,1.26 Jupiters,15.8485,2004
OGLE-TR-211 b,4943,1.03 Jupiters,15.364,2007
Ophiuchi 11 b,444,14 Jupiters,18.912,2006
PDS 70 c,369,2 Jupiters,12.032,2019
Pi Mensae c,60,4.82 Earths,5.65,2018
PSR B1257+12 c,1957,4.3 Earths,,1992
PSR B1257+12 d,1957,3.9 Earths,,1992
Qatar-10 b,1824,0.736 Jupiters,12.868,2019
Qatar-2 b,592,2.494 Jupiters,13.443,2011
Rho Coronae Borealis c,57,25 Earths,5.40816,2016
ROXs 12 b,446,16 Jupiters,14.763,2013
OGLE-TR-211 b,4943,1.03 Jupiters,15.364,2007
Ophiuchi 11 b,444,14 Jupiters,18.912,2006
PDS 70 c,369,2 Jupiters,12.032,2019
Pi Mensae c,60,4.82 Earths,5.65,2018
PSR B1257+12 c,1957,4.3 Earths,,1992
PSR B1257+12 d,1957,3.9 Earths,,1992
Qatar-10 b,1824,0.736 Jupiters,12.868,2019
Qatar-2 b,592,2.494 Jupiters,13.443,2011
Rho Coronae Borealis c,57,25 Earths,5.40816,2016
ROXs 12 b,446,16 Jupiters,14.763,2013
RR Caeli b,69,4.2 Jupiters,14.379,2012
SR 12 AB c,366,13 Jupiters,13.355,2010
SWEEPS-11 b,27727,9.7 Jupiters,19.83,2006
Tau Ceti e,12,3.93 Earths,3.49607,2017
TOI-1130 b,190,12.9 Earths,11.595,2020
TOI-1201 b,124,6.28 Earths,12.26,2021
TOI-1231 b,90,15.4 Earths,12.36,2021
TOI-1259 A b,385,0.441 Jupiters,12.079,2021
TOI-125 d,362,13.6 Earths,11.023,2020
TOI-1260 c,240,11.8 Earths,11.922,2021
TOI-1266 b,117,13.5 Earths,12.941,2020
TOI-1333 b,654,2.37 Jupiters,9.438,2021
TOI-1431 b,486,3.12 Jupiters,8.03,2021
TOI-1444 b,409,3.87 Earths,10.936,2021
TOI-178 c,205,4.77 Earths,11.955,2021
TOI-216.01,580,0.62927 Jupiters,12.324,2019
TOI-220 b,296,13.8 Earths,10.466,2021
TOI-421 b,244,7.17 Earths,9.931,2020
TOI-421 c,244,16.42 Earths,9.931,2020
TOI-540 b,46,0.674 Earths,14.823,2020
TOI-558 b,1313,3.61 Jupiters,11.233,2021
TOI-763 b,310,9.79 Earths,10.265,2020
TOI-813 b,858,36.4 Earths,10.358,2020
TOI-824 b,209,18.467 Earths,11.314,2020
TOI-849 b,736,39.09 Earths,11.981,2020
TRAPPIST-1 b,41,1.374 Earths,17.02,2016
TRAPPIST-1 h,41,0.326 Earths,17.02,2017
TrES-5 b,1175,1.79 Jupiters,13.677,2011
TYC 0434-04538-1 b,2001,6.1 Jupiters,10.247,2021
TYC 1422-614-1 b,2193,2.5 Jupiters,10.193,2014
TYC 1422-614-1 c,2193,10 Jupiters,10.193,2014
TYC 4282-00605-1 b,1514,10.78 Jupiters,10.465,2017
USco1621 b,450,16 Jupiters,15.543,2019
V1298 Tauri b,353,0.236 Jupiters,10.115,2019
V1298 Tauri d,353,33.6 Earths,10.115,2019
V1298 Tauri e,353,0.179 Jupiters,10.115,2019
VHS J125601.92-125723.9 b,41,11.2 Jupiters,17.73,2015
WASP-113 b,1419,0.475 Jupiters,11.761,2016
WASP-114 b,1707,1.769 Jupiters,12.685,2016
WASP-11 b,407,0.79 Jupiters,11.567,2008
TYC 1422-614-1 c,2193,10 Jupiters,10.193,2014
TYC 4282-00605-1 b,1514,10.78 Jupiters,10.465,2017
USco1621 b,450,16 Jupiters,15.543,2019
V1298 Tauri b,353,0.236 Jupiters,10.115,2019
V1298 Tauri d,353,33.6 Earths,10.115,2019
V1298 Tauri e,353,0.179 Jupiters,10.115,2019
VHS J125601.92-125723.9 b,41,11.2 Jupiters,17.73,2015
WASP-113 b,1419,0.475 Jupiters,11.761,2016
WASP-114 b,1707,1.769 Jupiters,12.685,2016
WASP-11 b,407,0.79 Jupiters,11.567,2008
TYC 1422-614-1 c,2193,10 Jupiters,10.193,2014
TYC 4282-00605-1 b,1514,10.78 Jupiters,10.465,2017
USco1621 b,450,16 Jupiters,15.543,2019
V1298 Tauri b,353,0.236 Jupiters,10.115,2019
V1298 Tauri d,353,33.6 Earths,10.115,2019
V1298 Tauri e,353,0.179 Jupiters,10.115,2019
VHS J125601.92-125723.9 b,41,11.2 Jupiters,17.73,2015
WASP-113 b,1419,0.475 Jupiters,11.761,2016
WASP-114 b,1707,1.769 Jupiters,12.685,2016
WASP-11 b,407,0.79 Jupiters,11.567,2008
TYC 1422-614-1 c,2193,10 Jupiters,10.193,2014
TYC 4282-00605-1 b,1514,10.78 Jupiters,10.465,2017
USco1621 b,450,16 Jupiters,15.543,2019
V1298 Tauri b,353,0.236 Jupiters,10.115,2019
V1298 Tauri d,353,33.6 Earths,10.115,2019
V1298 Tauri e,353,0.179 Jupiters,10.115,2019
VHS J125601.92-125723.9 b,41,11.2 Jupiters,17.73,2015
WASP-113 b,1419,0.475 Jupiters,11.761,2016
WASP-114 b,1707,1.769 Jupiters,12.685,2016
WASP-11 b,407,0.79 Jupiters,11.567,2008
TYC 1422-614-1 c,2193,10 Jupiters,10.193,2014
TYC 4282-00605-1 b,1514,10.78 Jupiters,10.465,2017
USco1621 b,450,16 Jupiters,15.543,2019
V1298 Tauri b,353,0.236 Jupiters,10.115,2019
V1298 Tauri d,353,33.6 Earths,10.115,2019
V1298 Tauri e,353,0.179 Jupiters,10.115,2019
VHS J125601.92-125723.9 b,41,11.2 Jupiters,17.73,2015
WASP-113 b,1419,0.475 Jupiters,11.761,2016
WASP-114 b,1707,1.769 Jupiters,12.685,2016
WASP-11 b,407,0.79 Jupiters,11.567,2008
WASP-123 b,646,0.899 Jupiters,11.03,2016
WASP-124 b,1463,0.6 Jupiters,12.724,2016
WASP-12 b,1394,1.465 Jupiters,11.569,2008
WASP-135 b,973,1.9 Jupiters,13.181,2015
WASP-139 b,693,37.18611 Earths,12.456,2016
WASP-13 b,742,0.36 Jupiters,10.424,2009
WASP-158 b,1713,2.79 Jupiters,12.044,2018
WASP-159 b,2334,0.55 Jupiters,12.836,2018
WASP-160 B b,941,0.278 Jupiters,13.04,2018
WASP-165 b,1964,0.658 Jupiters,12.816,2018
WASP-167 b,1382,8 Jupiters,10.517,2017
WASP-169 b,2045,0.561 Jupiters,12.167,2019
WASP-16 b,633,1.24 Jupiters,11.288,2009
WASP-170 b,997,1.6 Jupiters,12.613,2018
WASP-176 b,1854,0.855 Jupiters,12.006,2020
WASP-178 b,1395,1.66 Jupiters,9.946,2019
WASP-186 b,909,4.22 Jupiters,10.81,2020
WASP-22 b,1036,0.67 Jupiters,11.99,2010
WASP-32 b,900,2.63 Jupiters,11.257,2010
WASP-42 b,578,0.527 Jupiters,12.169,2012
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
WD 1856+534 b,81,13.8 Jupiters,17.244,2020
XO-5 b,901,1.19 Jupiters,12.198,2008
YSES 2 b,357,6.3 Jupiters,10.885,2021
YZ Ceti b,12,0.75 Earths,12.074,2017
WASP-53 b,657,2.132 Jupiters,12.591,2017
WASP-66 b,1632,2.35 Jupiters,11.605,2012
WASP-80 b,162,0.538 Jupiters,11.841,2012
WASP-92 b,1879,0.805 Jupiters,12.951,2016
WASP-93 b,1208,1.47 Jupiters,10.966,2016
WD 0806-661 b,63,7.5 Jupiters,13.855,2011
